PLUIDM|PLUIGR|DESKRIPSI|SALDO_AWAL|BPB_QTY|BPBR_QTY|MPP_QTY|ADJP_QTY|DSPB_QTY|MPN_QTY|ADJM_QTY|SALDO_AKHIR
20041266|1532120|"PEPSODENT PASTA GIGI ACTION 123 COMPLETE  TUB 190g"|-400|0|0|0|0|176|0|0|-576
20075742|1533900|"PEPSODENT SIKAT GIGI SILVER CHARCOAL  PCS SOFT"|-112|192|0|0|0|192|0|0|-112
20054750|1535170|"RINSO DETERJEN LIQUID + MOLTO PERFUME ESSENCE PCH 750/565mL"|-2066|0|0|0|0|482|0|0|-2548
20054964|1535310|"HEAD &SHOULDERS SHAMPOO A/D CLEAN & BALANCE BTL 300mL"|-438|0|0|0|0|12|0|0|-450
20024922|1540910|"ORAL B SIKAT GIGI ALL ROUNDER 123 3'S CLEAN PCS MEDIUM"|-550|384|0|0|0|92|0|0|-258
20104271|1543740|"VASELINE LIP THERAPY ROSY LIPS PCS 4.8g"|-683|0|0|0|0|0|0|0|-683
20109507|1544920|"HEAD &SHOULDERS SHAMPOO A/D LEMON FRESH BTL 400mL"|74|90|0|0|0|107|0|0|57
20114752|1544980|"DOWNY SOFTENER FRESH BOUQUET PCH 550mL"|91|492|0|0|0|184|0|0|399
20114753|1544990|"DOWNY SOFTENER ADORABL BOUQUET PCH 550mL"|172|648|0|0|0|228|0|0|592
20114849|1545040|"PONDS BRIGHT BEAUTY POWER SERUM  PCS 7.5g"|-14|36|0|0|0|39|0|0|-17
20115145|1545310|"LIFEBUOY SABUN MANDI CAIR REFILL JPN SHISO&MNRAL PCH 450mL"|19|0|0|0|0|49|0|0|-30
20119096|1547010|"PEPSODENT SIKAT GIGI BRILIAN 3'S  PCK SOFT"|0|0|0|0|0|0|0|0|0
20119094|1547030|"PEPSODENT SIKAT GIGI EXPERT CLEAN 3'S  PCK SOFT"|632|48|0|0|0|154|0|0|526
20119092|1547040|"PEPSODENT SIKAT GIGI SIWAK 2'S  PCK SOFT"|456|0|0|0|0|38|0|0|418
20119089|1547100|"POND'S MEN PEMBERSIH WAJAH OIL CRUSHER TUB 100g"|84|0|0|0|0|26|0|0|58
20075361|1550050|"ZWITSAL BABY BATH NATURAL RICH HONEY PCH 450mL"|24|36|0|0|0|48|0|0|12
20093143|1551130|"PANTENE CONDITIONER TANPA BILAS PERFECT ON PCS 40mL"|30|120|0|0|0|84|0|0|66
20093188|1551240|"RINSO DETERGENT CAIR + MOLTO GOLD ROYAL PCH 565/510mL"|-449|576|0|0|0|500|0|0|-373
20098872|1552350|"VASELINE LIP THERAPY ORIGINAL PCS 7g"|-104|0|0|0|0|0|0|0|-104
20098873|1552380|"VASELINE LIP THERAPY CREME BRULEE PCS 7g"|-78|0|0|0|0|0|0|0|-78
20057224|1553850|"BEBELOVE 1 SUSU BUBUK INFANT FORMULA  BOX 200g"|1920|552|0|0|0|0|0|0|2472
